date,store_id,city,store_profile,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,day_name,month,week_of_year,quarter,day_of_month,pred_transactions
2026-01-01,S001,Tempe,campus corridor,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125
2026-01-01,S002,Phoenix,urban flagship,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875
2026-01-01,S003,Mesa,family suburban,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688
2026-01-01,S004,Scottsdale,premium suburban,1,new_years_day,0,none,0,1,0,74.9,0.3618181818181819,3,Thursday,1,1,1,1,1026.560791015625
2026-01-02,S001,Tempe,campus corridor,0,none,0,none,0,1,0,76.6,0.3927272727272726,4,Friday,1,1,1,2,992.96044921875
2026-01-02,S002,Phoenix,urban flagship,0,none,0,none,0,1,0,80.1,0.4563636363636362,4,Friday,1,1,1,2,1181.5579833984375
2026-01-02,S003,Mesa,family suburban,0,none,0,none,0,1,0,78.1,0.4199999999999999,4,Friday,1,1,1,2,946.836181640625
2026-01-02,S004,Scottsdale,premium suburban,0,none,0,none,0,1,0,74.6,0.3563636363636362,4,Friday,1,1,1,2,1120.800048828125
2026-01-03,S001,Tempe,campus corridor,0,none,0,none,1,0,0,76.3,0.3872727272727272,5,Saturday,1,1,1,3,1037.4288330078125
2026-01-03,S002,Phoenix,urban flagship,0,none,0,none,1,0,0,79.8,0.4509090909090908,5,Saturday,1,1,1,3,1201.1458740234375
2026-01-03,S003,Mesa,family suburban,0,none,0,none,1,0,0,77.8,0.4145454545454545,5,Saturday,1,1,1,3,981.8616333007812
2026-01-03,S004,Scottsdale,premium suburban,0,none,0,none,1,0,0,74.3,0.3509090909090908,5,Saturday,1,1,1,3,1164.8768310546875
2026-01-04,S001,Tempe,campus corridor,0,none,0,none,1,0,0,76.0,0.3818181818181818,6,Sunday,1,1,1,4,1019.8740844726562
2026-01-04,S002,Phoenix,urban flagship,0,none,0,none,1,0,0,79.5,0.4454545454545454,6,Sunday,1,1,1,4,1174.2080078125
2026-01-04,S003,Mesa,family suburban,0,none,0,none,1,0,0,77.5,0.4090909090909091,6,Sunday,1,1,1,4,916.0718994140625
2026-01-04,S004,Scottsdale,premium suburban,0,none,0,none,1,0,0,74.0,0.3454545454545454,6,Sunday,1,1,1,4,1109.2587890625
2026-01-05,S001,Tempe,campus corridor,0,none,0,none,0,0,0,75.7,0.3763636363636364,0,Monday,1,2,1,5,836.4194946289062
2026-01-05,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,79.2,0.44,0,Monday,1,2,1,5,985.9522094726562
2026-01-05,S003,Mesa,family suburban,0,none,0,none,0,0,0,77.2,0.4036363636363637,0,Monday,1,2,1,5,793.8455810546875
2026-01-05,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,73.7,0.34,0,Monday,1,2,1,5,915.748779296875
2026-01-06,S001,Tempe,campus corridor,0,none,0,none,0,0,0,75.4,0.370909090909091,1,Tuesday,1,2,1,6,894.6683959960938
2026-01-06,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,78.9,0.4345454545454546,1,Tuesday,1,2,1,6,1008.265625
2026-01-06,S003,Mesa,family suburban,0,none,0,none,0,0,0,76.9,0.3981818181818183,1,Tuesday,1,2,1,6,801.873046875
2026-01-06,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,73.4,0.3345454545454546,1,Tuesday,1,2,1,6,974.7643432617188
