date,store_id,city,store_profile,family,onpromotion,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,day_name,month,week_of_year,quarter,day_of_month
2026-01-01,S001,Tempe,campus corridor,produce,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1
2026-01-02,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,4,Friday,1,1,1,2
2026-01-03,S001,Tempe,campus corridor,produce,0,0,none,0,none,1,0,0,76.3,0.3872727272727272,5,Saturday,1,1,1,3
2026-01-04,S001,Tempe,campus corridor,produce,0,0,none,0,none,1,0,0,76.0,0.38181818181818183,6,Sunday,1,1,1,4
2026-01-05,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,0,Monday,1,2,1,5
2026-01-06,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,75.4,0.370909090909091,1,Tuesday,1,2,1,6
2026-01-07,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,75.1,0.36545454545454537,2,Wednesday,1,2,1,7
2026-01-08,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,74.8,0.35999999999999993,3,Thursday,1,2,1,8
2026-01-09,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,74.5,0.35454545454545455,4,Friday,1,2,1,9
2026-01-10,S001,Tempe,campus corridor,produce,0,0,none,0,none,1,0,0,74.2,0.3490909090909091,5,Saturday,1,2,1,10
2026-01-11,S001,Tempe,campus corridor,produce,0,0,none,0,none,1,0,0,74.0,0.34545454545454546,6,Sunday,1,2,1,11
2026-01-12,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,73.7,0.34,0,Monday,1,3,1,12
2026-01-13,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,0,0,73.4,0.33454545454545465,1,Tuesday,1,3,1,13
2026-01-14,S001,Tempe,campus corridor,produce,0,0,none,0,none,0,1,0,73.1,0.329090909090909,2,Wednesday,1,3,1,14
2026-01-01,S002,Phoenix,urban flagship,produce,1,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1
2026-01-02,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,1,0,80.1,0.45636363636363625,4,Friday,1,1,1,2
2026-01-03,S002,Phoenix,urban flagship,produce,0,0,none,0,none,1,0,0,79.8,0.45090909090909087,5,Saturday,1,1,1,3
2026-01-04,S002,Phoenix,urban flagship,produce,0,0,none,0,none,1,0,0,79.5,0.44545454545454544,6,Sunday,1,1,1,4
2026-01-05,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,0,0,79.2,0.44000000000000006,0,Monday,1,2,1,5
2026-01-06,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,0,0,78.9,0.4345454545454546,1,Tuesday,1,2,1,6
2026-01-07,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,0,0,78.6,0.42909090909090897,2,Wednesday,1,2,1,7
2026-01-08,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,0,0,78.3,0.4236363636363636,3,Thursday,1,2,1,8
2026-01-09,S002,Phoenix,urban flagship,produce,1,0,none,0,none,0,0,0,78.0,0.41818181818181815,4,Friday,1,2,1,9
2026-01-10,S002,Phoenix,urban flagship,produce,0,0,none,0,none,1,0,0,77.7,0.4127272727272728,5,Saturday,1,2,1,10
2026-01-11,S002,Phoenix,urban flagship,produce,0,0,none,0,none,1,0,0,77.5,0.4090909090909091,6,Sunday,1,2,1,11
2026-01-12,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,0,0,77.2,0.4036363636363637,0,Monday,1,3,1,12
2026-01-13,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,0,0,76.9,0.3981818181818183,1,Tuesday,1,3,1,13
2026-01-14,S002,Phoenix,urban flagship,produce,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,2,Wednesday,1,3,1,14
2026-01-01,S003,Mesa,family suburban,produce,0,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1
2026-01-02,S003,Mesa,family suburban,produce,0,0,none,0,none,0,1,0,78.1,0.4199999999999999,4,Friday,1,1,1,2
2026-01-03,S003,Mesa,family suburban,produce,1,0,none,0,none,1,0,0,77.8,0.4145454545454545,5,Saturday,1,1,1,3
2026-01-04,S003,Mesa,family suburban,produce,0,0,none,0,none,1,0,0,77.5,0.4090909090909091,6,Sunday,1,1,1,4
2026-01-05,S003,Mesa,family suburban,produce,0,0,none,0,none,0,0,0,77.2,0.4036363636363637,0,Monday,1,2,1,5
2026-01-06,S003,Mesa,family suburban,produce,0,0,none,0,none,0,0,0,76.9,0.3981818181818183,1,Tuesday,1,2,1,6
2026-01-07,S003,Mesa,family suburban,produce,0,0,none,0,none,0,0,0,76.6,0.39272727272727265,2,Wednesday,1,2,1,7
2026-01-08,S003,Mesa,family suburban,produce,1,0,none,0,none,0,0,0,76.3,0.3872727272727272,3,Thursday,1,2,1,8
2026-01-09,S003,Mesa,family suburban,produce,0,0,none,0,none,0,0,0,76.0,0.38181818181818183,4,Friday,1,2,1,9
2026-01-10,S003,Mesa,family suburban,produce,0,0,none,0,none,1,0,0,75.7,0.3763636363636364,5,Saturday,1,2,1,10
2026-01-11,S003,Mesa,family suburban,produce,0,0,none,0,none,1,0,0,75.5,0.37272727272727274,6,Sunday,1,2,1,11
2026-01-12,S003,Mesa,family suburban,produce,0,0,none,0,none,0,0,0,75.2,0.3672727272727273,0,Monday,1,3,1,12
2026-01-13,S003,Mesa,family suburban,produce,0,0,none,0,none,0,0,0,74.9,0.3618181818181819,1,Tuesday,1,3,1,13
2026-01-14,S003,Mesa,family suburban,produce,0,0,none,0,none,0,1,0,74.6,0.35636363636363627,2,Wednesday,1,3,1,14
